id,year,image_url
http://kulturarvsdata.se/S-OM/photo/OMEIJA00N536,1970,https://ems.dimu.org/image/019EBsk7pXB3u?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEIJA0N1063,1970,https://ems.dimu.org/image/019EBsk7r1VfT?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEIJA0N1660,1990,https://ems.dimu.org/image/019EBsk7r2rGo?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG10068910002,1958,https://ems.dimu.org/image/02349wJko8FA?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG20055120003,1967,https://ems.dimu.org/image/0136JSZXoNVR?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG10036490001,1954,https://ems.dimu.org/image/019EBsk7vToXG?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMFZ000462,1964,https://ems.dimu.org/image/013AmsTAysAK?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG10085220003,1960,https://ems.dimu.org/image/019EBwjQQ94FJ?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG20051160003,1967,https://ems.dimu.org/image/019EBsk7wxnwm?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG000068,1950,https://ems.dimu.org/image/019EE6jRofHAU?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG10096100002,1961,https://ems.dimu.org/image/019EBxEB5g383?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG10031790003,1953,https://ems.dimu.org/image/019EBvkKLg3mi?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG20025100001,1964,https://ems.dimu.org/image/019EBwjy3LZvX?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG2005256,1967,https://ems.dimu.org/image/019EBsk7wxo28?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG20084650001,1971,https://ems.dimu.org/image/013AkPV4ox3i?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG2003033,1965,https://ems.dimu.org/image/019EBsk7wxTEb?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG30014010001,1974,https://ems.dimu.org/image/019EE6ikN84yF?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEA0005540036,1956,https://ems.dimu.org/image/019EE7DyMBJgo?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMF1961000786,1961,https://ems.dimu.org/image/019EBskEZuEwc?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OME015261,1951,https://ems.dimu.org/image/019EGHDRNL5Qg?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG2007113,1969,https://ems.dimu.org/image/019EGHD5cLK9y?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OME016358,1951,https://ems.dimu.org/image/0231xTDARZbr?dimension=600x600
