id,year,image_url
http://kulturarvsdata.se/S-OM/photo/OMEIJA0N1451,1962,https://ems.dimu.org/image/019EBsk7r2WG2?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMDVE000005,1903,https://ems.dimu.org/image/013Akt2dncco?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMMARO000025,1950,https://ems.dimu.org/image/0236JRzmCvvi?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMDVE000419,1904,https://ems.dimu.org/image/019EBskM5z6Ek?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEIJA0N1329,1940,https://ems.dimu.org/image/019EBsk7r2An8?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMKJST0162530007,1939,https://ems.dimu.org/image/019EE9DxC6vNh?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEIJA00D859,1967,https://ems.dimu.org/image/013AmtMhe6qQ?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMDVE000332,1902,https://ems.dimu.org/image/013Akt2aqdy9?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG10091840001,1961,https://ems.dimu.org/image/019EBxEHbiYGo?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMFP000228,1954,https://ems.dimu.org/image/0136MvjmoTTz?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMKJST012579,1933,https://ems.dimu.org/image/019EE5jmphEAe?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG000051,1950,https://ems.dimu.org/image/019EE6jRjEL9N?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG10033200001,1954,https://ems.dimu.org/image/019EE6ikR4NHD?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG2000298,1962,https://ems.dimu.org/image/019EBsk7ww7Y8?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMARMO004939,1931,https://ems.dimu.org/image/019EE5EDVLhTu?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG2006060,1968,https://ems.dimu.org/image/019EBsk7wxoB6?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG20085230001,1971,https://ems.dimu.org/image/013AkPV4ox7z?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG10055860001,1956,https://ems.dimu.org/image/019EBsk7vUotd?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMF1959000012,1959,https://ems.dimu.org/image/03349wJhpUsT?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMAG1006608,1958,https://ems.dimu.org/image/019EBsk7wv7An?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OME047121,1974,https://ems.dimu.org/image/03346xU3Lkby?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEIJA00N379,1949,https://ems.dimu.org/image/019EBsk7pWWUG?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEIJA00N384,1953,https://ems.dimu.org/image/019EBsk7pWWYb?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEIJA0N1103,1960,https://ems.dimu.org/image/019EBsk7r1WCQ?dimension=600x600
http://kulturarvsdata.se/S-OM/photo/OMEIJA0N1527,1950,https://ems.dimu.org/image/019EBsk7r2WiT?dimension=600x600
